"typhoon_id","cname"
"1960MARY",瑪麗
"1960SHIRLEY",雪莉
"1960TRIX",崔絲
"1960AGNES",艾妮絲
"1960ELAINE",艾琳
"1961BETTY",貝蒂
"1961DORIS",都麗絲
"1961ELSIE",艾爾西
"1961JUNE",裘恩
"1961LORNA",勞娜
"1961PAMELA",波密拉
"1961SALLY",沙莉
"1962KATE",凱蒂
"1962OPAL",歐珀
"1962WANDA",萬達
"1962AMY",愛美
"1962DINAH",黛納
"1963WENDY",范迪
"1963FAYE",費依
"1963GLORIA",葛樂禮
"1964BETTY",貝蒂
"1964DORIS",都麗絲
"1964IDA",艾達
"1964SALLY",莎莉
"1964TILDA",蒂達
"1965DINAH",黛納
"1965HARRIET",哈莉
"1965MARY",瑪麗
"1966JUDY",裘迪
"1966TESS",蒂絲
"1966ALICE",艾麗絲
"1966CORA",寇拉
"1966ELSIE",艾爾西
"1967ANITA",艾妮達
"1967CLARA",葛萊拉
"1967NORA",娜拉
"1967CARLA",解拉
"1967DINAH",黛納
"1967GILDA",吉達
"1968WENDY",范迪
"1968ELAINE",艾琳
"1969VIOLA",衛歐拉
"1969BETTY",貝蒂
"1969ELSIE",艾爾西
"1969FLOSSIE",芙勞西
"1970OLGA",歐加
"1970WILDA",魏達
"1970FRAN",芙安
"1971BABE",寶佩
"1971LUCY",露西
"1971NADINE",娜定
"1971AGNES",艾妮絲
"1971BESS",貝絲
"1972SUSAN",蘇珊
"1972WINNIE",溫妮
"1972BETTY",貝蒂
"1973JOAN",瓊安
"1973NORA",娜拉
"1974JEAN",琴恩
"1974LUCY",露西
"1974WENDY",范迪
"1974BESS",貝絲
"1975NINA",妮娜
"1975BETTY",貝蒂
"1975ELSIE",艾爾西
"1976RUBY",魯碧
"1976BILLIE",畢莉
"1977RUTH",魯絲
"1977THELMA",賽洛瑪
"1977VERA",薇拉
"1977AMY",愛美
"1977DINAH",黛納
"1978OLIVE",歐莉芙
"1978ROSE",羅絲
"1978DELLA",黛拉
"1978ORA",婀拉
"1979GORDON",戈登
"1979HOPE",賀璞
"1979IRVING",歐敏
"1979JUDY",茱迪
"1980IDA",艾達
"1980NORRIS",諾瑞斯
"1980PERCY",珀西
"1980BETTY",貝蒂
"1981IKE",艾克
"1981JUNE",裘恩
"1981MAURY",莫瑞
"1981AGNES",艾妮絲
"1981CLARA",葛萊拉
"1981IRMA",伊瑪
"1982ANDY",安迪
"1982CECIL",西仕
"1982DOT",黛特
"1982KEN",肯恩
