"typhoon_id","obs_time","lon","lat","wind_velocity"
"1960MARY","1960-06-03 21:00",114.42,15.1,15
"1960MARY","1960-06-03 22:00",114.33,15.1,16
"1960MARY","1960-06-03 23:00",114.25,15.1,16
"1960MARY","1960-06-04 00:00",114.17,15.1,17
"1960MARY","1960-06-04 01:00",114.08,15.1,17
"1960MARY","1960-06-04 02:00",114.0,15.1,18
"1960MARY","1960-06-04 03:00",113.9,15.13,18
"1960MARY","1960-06-04 04:00",113.8,15.17,18
"1960MARY","1960-06-04 05:00",113.7,15.2,18
"1960MARY","1960-06-04 06:00",113.6,15.23,18
"1960MARY","1960-06-04 07:00",113.5,15.27,18
"1960MARY","1960-06-04 08:00",113.4,15.3,18
"1960MARY","1960-06-04 09:00",113.33,15.33,18
"1960MARY","1960-06-04 10:00",113.27,15.37,18
"1960MARY","1960-06-04 11:00",113.2,15.4,19
"1960MARY","1960-06-04 12:00",113.13,15.43,19
"1960MARY","1960-06-04 13:00",113.07,15.47,19
"1960MARY","1960-06-04 14:00",113.0,15.5,20
"1960MARY","1960-06-04 15:00",112.92,15.55,20
"1960MARY","1960-06-04 16:00",112.83,15.6,20
"1960MARY","1960-06-04 17:00",112.75,15.65,20
"1960MARY","1960-06-04 18:00",112.67,15.7,20
"1960MARY","1960-06-04 19:00",112.58,15.75,20
"1960MARY","1960-06-04 20:00",112.5,15.8,20
"1960MARY","1960-06-04 21:00",112.47,15.85,20
"1960MARY","1960-06-04 22:00",112.43,15.9,20
"1960MARY","1960-06-04 23:00",112.4,15.95,20
"1960MARY","1960-06-05 00:00",112.37,16.0,20
"1960MARY","1960-06-05 01:00",112.33,16.05,20
"1960MARY","1960-06-05 02:00",112.3,16.1,20
"1960MARY","1960-06-05 03:00",112.27,16.13,20
"1960MARY","1960-06-05 04:00",112.23,16.17,21
"1960MARY","1960-06-05 05:00",112.2,16.2,21
"1960MARY","1960-06-05 06:00",112.17,16.23,22
"1960MARY","1960-06-05 07:00",112.13,16.27,22
"1960MARY","1960-06-05 08:00",112.1,16.3,23
"1960MARY","1960-06-05 09:00",112.1,16.35,23
"1960MARY","1960-06-05 10:00",112.1,16.4,23
"1960MARY","1960-06-05 11:00",112.1,16.45,24
"1960MARY","1960-06-05 12:00",112.1,16.5,24
"1960MARY","1960-06-05 13:00",112.1,16.55,24
"1960MARY","1960-06-05 14:00",112.1,16.6,25
"1960MARY","1960-06-05 15:00",112.13,16.62,25
"1960MARY","1960-06-05 16:00",112.17,16.63,25
"1960MARY","1960-06-05 17:00",112.2,16.65,25
"1960MARY","1960-06-05 18:00",112.23,16.67,25
"1960MARY","1960-06-05 19:00",112.27,16.68,25
"1960MARY","1960-06-05 20:00",112.3,16.7,25
"1960MARY","1960-06-05 21:00",112.3,16.72,25
"1960MARY","1960-06-05 22:00",112.3,16.73,25
"1960MARY","1960-06-05 23:00",112.3,16.75,25
"1960MARY","1960-06-06 00:00",112.3,16.77,25
"1960MARY","1960-06-06 01:00",112.3,16.78,25
"1960MARY","1960-06-06 02:00",112.3,16.8,25
"1960MARY","1960-06-06 03:00",112.3,16.85,25
"1960MARY","1960-06-06 04:00",112.3,16.9,26
"1960MARY","1960-06-06 05:00",112.3,16.95,26
"1960MARY","1960-06-06 06:00",112.3,17.0,27
"1960MARY","1960-06-06 07:00",112.3,17.05,27
"1960MARY","1960-06-06 08:00",112.3,17.1,28
"1960MARY","1960-06-06 09:00",112.33,17.12,28
"1960MARY","1960-06-06 10:00",112.37,17.13,28
"1960MARY","1960-06-06 11:00",112.4,17.15,29
"1960MARY","1960-06-06 12:00",112.43,17.17,29
"1960MARY","1960-06-06 13:00",112.47,17.18,29
"1960MARY","1960-06-06 14:00",112.5,17.2,30
"1960MARY","1960-06-06 15:00",112.52,17.25,30
"1960MARY","1960-06-06 16:00",112.53,17.3,30
"1960MARY","1960-06-06 17:00",112.55,17.35,30
"1960MARY","1960-06-06 18:00",112.57,17.4,30
"1960MARY","1960-06-06 19:00",112.58,17.45,30
"1960MARY","1960-06-06 20:00",112.6,17.5,30
"1960MARY","1960-06-06 21:00",112.65,17.53,30
"1960MARY","1960-06-06 22:00",112.7,17.57,30
"1960MARY","1960-06-06 23:00",112.75,17.6,30
"1960MARY","1960-06-07 00:00",112.8,17.63,30
"1960MARY","1960-06-07 01:00",112.85,17.67,30
"1960MARY","1960-06-07 02:00",112.9,17.7,30
"1960MARY","1960-06-07 03:00",112.92,17.72,30
"1960MARY","1960-06-07 04:00",112.93,17.73,30
"1960MARY","1960-06-07 05:00",112.95,17.75,30
"1960MARY","1960-06-07 06:00",112.97,17.77,30
"1960MARY","1960-06-07 07:00",112.98,17.78,30
"1960MARY","1960-06-07 08:00",113.0,17.8,30
"1960MARY","1960-06-07 09:00",113.07,17.92,30
"1960MARY","1960-06-07 10:00",113.13,18.03,31
"1960MARY","1960-06-07 11:00",113.2,18.15,32
"1960MARY","1960-06-07 12:00",113.27,18.27,33
"1960MARY","1960-06-07 13:00",113.33,18.38,34
"1960MARY","1960-06-07 14:00",113.4,18.5,35
